Date,Open,High,Low,Close,Adj Close,Volume
2012-03-30,7.590000,7.590000,7.420000,7.550000,7.040191,26100
2012-04-02,7.510000,7.570000,7.430000,7.460000,6.956265,35000
2012-04-03,7.490000,7.500000,7.400000,7.480000,6.974916,29200
2012-04-04,7.400000,7.500000,7.150000,7.500000,6.993565,44100
2012-04-05,7.430000,7.500000,7.400000,7.500000,6.993565,14500
2012-04-09,7.420000,7.460000,7.270000,7.400000,6.900317,17300
2012-04-10,7.350000,7.470000,7.150000,7.250000,6.760447,27500
2012-04-11,7.230000,7.460000,7.200000,7.440000,6.937617,25000
2012-04-12,7.390000,7.470000,7.240000,7.410000,6.909643,47000
2012-04-13,7.360000,7.430000,7.350000,7.390000,6.890992,31100
2012-04-16,7.360000,7.450000,7.340000,7.440000,6.937617,25700
2012-04-17,7.360000,7.500000,7.340000,7.470000,6.965590,31600
2012-04-18,7.470000,7.500000,7.390000,7.500000,6.993565,27500
2012-04-19,7.450000,7.500000,7.340000,7.500000,6.993565,36400
2012-04-20,7.500000,7.540000,7.460000,7.510000,7.002890,17300
2012-04-23,7.510000,7.510000,7.410000,7.420000,6.918967,19400
2012-04-24,7.400000,7.520000,7.400000,7.520000,7.012214,32500
2012-04-25,7.510000,7.760000,7.420000,7.600000,7.086812,68200
2012-04-26,7.630000,7.640000,7.450000,7.500000,6.993565,30900
2012-04-27,7.550000,7.580000,7.400000,7.430000,6.928292,55400
2012-04-30,7.450000,7.500000,7.440000,7.500000,6.993565,25000
2012-05-01,7.500000,7.520000,7.470000,7.500000,6.993565,36200
2012-05-02,7.550000,7.650000,7.500000,7.510000,7.002890,103000
2012-05-03,7.540000,7.600000,7.460000,7.470000,6.965590,49000
2012-05-04,7.450000,7.590000,7.420000,7.500000,6.993565,30000
2012-05-07,7.500000,7.610000,7.460000,7.490000,6.984241,30000
2012-05-08,7.500000,7.530000,7.460000,7.490000,6.984241,30000
2012-05-09,7.460000,7.580000,7.420000,7.550000,7.040191,30000
2012-05-10,7.610000,7.720000,7.510000,7.570000,7.058838,35200
2012-05-11,7.570000,7.630000,7.460000,7.550000,7.063517,34800
2012-05-14,7.510000,7.600000,7.490000,7.600000,7.110294,16000
2012-05-15,7.550000,7.600000,7.510000,7.550000,7.063517,8900
2012-05-16,7.520000,7.530000,7.360000,7.460000,6.979315,12400
2012-05-17,7.370000,7.370000,6.910000,7.220000,6.754779,49300
2012-05-18,7.310000,7.420000,7.170000,7.260000,6.792203,26900
2012-05-21,7.260000,7.260000,7.130000,7.160000,6.698645,24400
2012-05-22,7.200000,7.340000,7.150000,7.270000,6.801558,26000
2012-05-23,7.210000,7.270000,7.150000,7.240000,6.773490,31000
2012-05-24,7.210000,7.350000,7.150000,7.230000,6.764134,20100
2012-05-25,7.290000,7.350000,7.180000,7.250000,6.782845,10300
2012-05-29,7.250000,7.420000,7.250000,7.300000,6.829626,11000
2012-05-30,7.300000,7.300000,7.180000,7.190000,6.726712,26300
2012-05-31,7.240000,7.400000,7.210000,7.320000,6.848337,22500
2012-06-01,7.280000,7.400000,7.080000,7.400000,6.923182,62300
2012-06-04,7.330000,7.410000,7.240000,7.350000,6.876404,30000
2012-06-05,7.380000,7.380000,7.100000,7.100000,6.642513,19500
2012-06-06,7.100000,7.270000,7.100000,7.220000,6.754779,4200
2012-06-07,7.290000,7.410000,7.230000,7.280000,6.810914,14200
2012-06-08,7.330000,7.450000,7.290000,7.410000,6.932537,31400
2012-06-11,7.450000,7.500000,7.150000,7.230000,6.764134,31600
2012-06-12,7.250000,7.300000,7.210000,7.220000,6.754779,30000
2012-06-13,7.250000,7.370000,7.150000,7.370000,6.895113,38400
2012-06-14,7.280000,7.500000,7.160000,7.440000,6.960603,43000
2012-06-15,7.310000,7.480000,7.200000,7.460000,6.979315,43300
2012-06-18,7.390000,7.700000,7.380000,7.600000,7.110294,78400
2012-06-19,7.600000,8.090000,7.510000,8.080000,7.559367,117900
2012-06-20,8.000000,8.440000,7.890000,8.380000,7.840036,97000
2012-06-21,8.320000,8.360000,8.170000,8.290000,7.755836,99300
2012-06-22,8.350000,8.590000,7.850000,8.160000,7.634212,1857100
2012-06-25,8.090000,8.180000,7.920000,7.970000,7.456452,92900
2012-06-26,7.960000,8.050000,7.850000,8.010000,7.493876,60500
2012-06-27,8.030000,8.050000,7.940000,8.050000,7.531298,88800
2012-06-28,8.000000,8.100000,7.970000,8.030000,7.512587,68500
2012-06-29,8.160000,8.440000,8.140000,8.320000,7.783904,62100
2012-07-02,8.320000,8.390000,8.270000,8.340000,7.802613,77900
2012-07-03,8.310000,8.550000,8.310000,8.500000,7.952306,27300
2012-07-05,8.520000,8.590000,8.480000,8.590000,8.036502,20800
2012-07-06,8.510000,8.590000,8.510000,8.560000,8.008437,26200
2012-07-09,8.560000,8.740000,8.450000,8.680000,8.120707,55700
2012-07-10,8.720000,8.750000,8.650000,8.740000,8.176839,55500
2012-07-11,8.700000,8.740000,8.560000,8.670000,8.111349,98000
2012-07-12,8.620000,8.700000,8.470000,8.680000,8.120707,61500
2012-07-13,8.660000,8.870000,8.620000,8.750000,8.186193,67400
2012-07-16,8.670000,8.790000,8.600000,8.710000,8.148770,57200
2012-07-17,8.750000,8.770000,8.610000,8.740000,8.176839,52900
2012-07-18,8.770000,8.770000,8.680000,8.750000,8.186193,43100
2012-07-19,8.740000,8.770000,8.690000,8.720000,8.158131,42700
2012-07-20,8.650000,8.770000,8.590000,8.600000,8.045859,57800
2012-07-23,8.510000,8.510000,8.030000,8.230000,7.699701,40800
